noise_type,noise_intensity,diffusion_type,diffusion_constant_xx,diffusion_constant_xy,diffusion_constant_yy,spatial_correlation,temporal_correlation,linear_cross_correlation_mean,linear_cross_correlation_std
correlated,0.2,anisotropic,1.5,0.0,0.0,0.5,0.1,"[0.47710913 0.35381083 0.33608872 0.31892764 0.29977544 0.24912895
 0.20374782 0.15688309]","[0.00393059 0.00472675 0.00486612 0.00501606 0.00519923 0.00574778
 0.00626951 0.00683106]"
correlated,0.24,anisotropic,1.5,0.0,0.0,0.5,0.1,"[0.47340216 0.35124092 0.33393147 0.31717    0.29846377 0.24940599
 0.20544842 0.16005378]","[0.00330987 0.00390575 0.00407876 0.00426735 0.00449903 0.00488114
 0.0052663  0.00569747]"
correlated,0.28,anisotropic,1.5,0.0,0.0,0.5,0.1,"[0.46997787 0.34873407 0.33176108 0.3153254  0.29698276 0.24925787
 0.2064946  0.1623333 ]","[0.00309884 0.00364004 0.00384771 0.00406886 0.00433522 0.00462596
 0.00492476 0.00526455]"
correlated,0.32,anisotropic,1.5,0.0,0.0,0.5,0.1,"[0.4666427  0.34622579 0.32956304 0.31342779 0.29542044 0.2488833
 0.20718431 0.16412209]","[0.00307926 0.00383521 0.00398262 0.00414585 0.00434898 0.00481394
 0.00526263 0.00575   ]"
correlated,0.36,anisotropic,1.5,0.0,0.0,0.5,0.1,"[0.46385394 0.34423235 0.32789689 0.31207856 0.29442491 0.24906707
 0.20842476 0.16645378]","[0.00344481 0.00404052 0.00419813 0.00436333 0.00456066 0.0049655
 0.00535074 0.00576619]"
correlated,0.5,anisotropic,1.5,0.0,0.0,0.5,0.1,"[0.45338987 0.33593623 0.32050176 0.30555589 0.28887592 0.24698438
 0.20944801 0.17068449]","[0.00281092 0.00333761 0.00344809 0.00357041 0.00372289 0.00402686
 0.00432976 0.00466667]"
correlated,0.75,anisotropic,1.5,0.0,0.0,0.5,0.1,"[0.43662225 0.32185744 0.30772795 0.29404575 0.27877608 0.24168947
 0.2084585  0.17414113]","[0.0025015  0.00291348 0.00297852 0.00305726 0.00316203 0.00349561
 0.00382066 0.00417594]"
correlated,1.0,anisotropic,1.5,0.0,0.0,0.5,0.1,"[0.42200874 0.30920526 0.29618315 0.28357329 0.26950036 0.23592822
 0.20584633 0.17478101]","[0.00217614 0.00246424 0.00256763 0.00268794 0.00284253 0.00297541
 0.00312849 0.00331542]"
correlated,0.05,anisotropic,1.25,0.0,0.25,0.5,0.1,"[0.63061292 0.53654163 0.52899742 0.52169203 0.51353904 0.48927088
 0.46752571 0.44506965]","[0.00691426 0.00772673 0.00777855 0.00785272 0.00796254 0.00825877
 0.00856066 0.00890474]"
correlated,0.1,anisotropic,1.25,0.0,0.25,0.5,0.1,"[0.60427847 0.50640836 0.49862385 0.49108578 0.4826731  0.457486
 0.43491743 0.41161104]","[0.00556694 0.00623588 0.00636693 0.00651712 0.00670988 0.00692967
 0.00716169 0.0074327 ]"
correlated,0.16,anisotropic,1.25,0.0,0.25,0.5,0.1,"[0.57736674 0.47518235 0.46724356 0.4595561  0.45097669 0.42538425
 0.40245247 0.378771  ]","[0.00481725 0.00559153 0.00567695 0.00578073 0.00591967 0.00610025
 0.00629139 0.00651519]"
